timestamp,userId,movieId,title,rating
2023-12-19 14:00:45,530,440,Dave (1993),4.0
2023-12-06 06:57:16,299,3755,"Perfect Storm, The (2000)",3.0
2025-02-21 09:28:06,456,9,Sudden Death (1995),4.0
2024-01-14 04:02:41,299,1258,"Shining, The (1980)",4.0
2024-09-27 06:46:01,488,595,Beauty and the Beast (1991),4.5
2024-02-14 09:21:54,557,527,Schindler's List (1993),4.0
2024-12-28 19:15:16,146,1411,Hamlet (1996),3.0
2023-10-07 06:25:58,120,5,Father of the Bride Part II (1995),4.0
2024-04-06 17:54:01,23,5333,Bob le Flambeur (1955),4.0
2025-04-02 17:40:41,568,3148,"Cider House Rules, The (1999)",4.5
2023-04-20 14:09:04,458,1073,Willy Wonka & the Chocolate Factory (1971),2.0
2025-01-22 23:28:19,185,1685,"I Love You, I Love You Not (1996)",3.0
2025-03-28 20:35:42,409,1194,Cheech and Chong's Up in Smoke (1978),5.0
2023-12-25 07:42:23,272,318,"Shawshank Redemption, The (1994)",4.0
2024-11-25 07:21:18,466,47099,"Pursuit of Happyness, The (2006)",5.0
2023-06-15 07:21:09,487,1554,"Pillow Book, The (1996)",2.0
2024-08-17 00:08:31,70,7361,Eternal Sunshine of the Spotless Mind (2004),4.5
2023-04-11 15:48:37,274,5816,Harry Potter and the Chamber of Secrets (2002),3.0
2024-03-02 19:27:28,459,5349,Spider-Man (2002),4.0
2024-02-02 01:21:58,243,410,Addams Family Values (1993),4.0
2023-10-22 07:30:38,494,2571,"Matrix, The (1999)",5.0
2023-06-08 13:13:21,73,53460,Surf's Up (2007),3.5
2024-01-04 10:05:02,314,1371,Star Trek: The Motion Picture (1979),2.0
2024-02-08 06:19:20,422,3973,Book of Shadows: Blair Witch 2 (2000),1.0
2025-01-17 05:30:07,536,272,"Madness of King George, The (1994)",5.0
2024-04-23 06:36:17,239,54001,Harry Potter and the Order of the Phoenix (2007),4.0
2023-07-20 20:33:34,547,2840,Stigmata (1999),3.0
2024-08-24 02:45:15,546,1249,"Femme Nikita, La (Nikita) (1990)",5.0
2023-09-27 02:35:06,177,2987,Who Framed Roger Rabbit? (1988),4.5
2024-11-08 14:22:03,185,4228,Heartbreakers (2001),2.0
2024-03-24 03:01:50,70,36,Dead Man Walking (1995),5.0
2023-08-27 03:29:53,552,7361,Eternal Sunshine of the Spotless Mind (2004),4.0
2025-01-14 17:10:39,286,3994,Unbreakable (2000),4.5
2024-08-12 05:24:13,581,356,Forrest Gump (1994),4.5
2023-06-17 21:31:29,220,590,Dances with Wolves (1990),5.0
2023-11-06 15:23:51,360,1711,Midnight in the Garden of Good and Evil (1997),5.0
2025-02-09 13:11:46,411,349,Clear and Present Danger (1994),3.0
2025-01-18 23:38:01,265,3528,"Prince of Tides, The (1991)",3.0
2025-01-18 16:59:15,584,500,Mrs. Doubtfire (1993),5.0
2023-04-22 15:57:49,49,103335,Despicable Me 2 (2013),4.0
2024-05-17 09:17:34,156,539,Sleepless in Seattle (1993),3.0
2024-12-17 03:32:14,340,592,Batman (1989),5.0
2024-11-26 13:56:06,100,1197,"Princess Bride, The (1987)",3.5
2025-04-04 22:30:33,426,4995,"Beautiful Mind, A (2001)",4.5
2024-08-20 14:47:25,122,1200,Aliens (1986),5.0
2024-04-22 08:36:29,110,1276,Cool Hand Luke (1967),5.0
2024-09-18 15:13:05,483,170,Hackers (1995),4.0
2024-12-28 21:34:00,290,951,His Girl Friday (1940),5.0
2023-12-14 23:45:25,565,380,True Lies (1994),4.0
2023-08-26 06:55:35,359,46723,Babel (2006),3.5
2024-02-24 20:28:05,58,296,Pulp Fiction (1994),5.0
2023-08-12 13:55:37,493,2571,"Matrix, The (1999)",5.0
2025-03-29 20:45:06,386,16,Casino (1995),4.0
2023-09-28 15:11:18,505,1969,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",3.0
2025-02-09 12:00:20,119,33615,Madagascar (2005),4.0
2024-10-25 00:30:34,238,4946,"Eye for an Eye, An (1981)",4.0
2023-06-05 15:24:09,460,54259,Stardust (2007),4.0
2025-02-24 15:34:00,547,3039,Trading Places (1983),4.0
2025-03-19 02:20:39,221,4799,"It's a Mad, Mad, Mad, Mad World (1963)",3.5
2024-02-26 03:53:08,37,457,"Fugitive, The (1993)",4.0
2024-03-08 03:57:47,184,122920,Captain America: Civil War (2016),4.5
2023-06-09 12:54:53,524,1200,Aliens (1986),5.0
2024-07-30 13:44:12,70,1293,Gandhi (1982),5.0
2024-10-03 11:50:44,206,141,"Birdcage, The (1996)",4.0
2024-09-21 10:40:41,293,2003,Gremlins (1984),2.0
2024-07-24 11:11:23,332,3301,"Whole Nine Yards, The (2000)",3.5
2023-05-14 10:16:55,281,428,"Bronx Tale, A (1993)",3.5
2023-06-06 17:24:53,281,4214,Revenge of the Nerds (1984),3.0
2025-03-17 04:10:46,294,1078,Bananas (1971),3.0
2024-09-19 00:09:38,489,1246,Dead Poets Society (1989),4.0
2023-10-29 01:15:51,60,362,"Jungle Book, The (1994)",4.0
